feature,importance,stddev,p_value,n,p99_high,p99_low,group
num_big_slopes_after_half,0.1565481624468433,0.0044881745934905,8.09827490011597e-08,5,0.1657893759680055,0.1473069489256812,late_settle
last_big_slope_time_ms,0.1010274280851263,0.0027571999224548,6.650677822791613e-08,5,0.1067045408340136,0.0953503153362389,late_settle
tcn_embed_43,0.0948298799314318,0.0032074109734207,1.5680385791785019e-07,5,0.1014339834568359,0.0882257764060276,tcn_embedding
tcn_embed_28,0.033244422781388,0.0006536069322659,1.79204479340068e-08,5,0.0345902084887315,0.0318986370740445,tcn_embedding
tcn_embed_39,0.0291030745470673,0.0007358618758402,4.900505278519165e-08,5,0.0306182243201143,0.0275879247740204,tcn_embedding
tcn_embed_11,0.0262919371494484,0.0003053015187454,2.1813667449344966e-09,5,0.0269205571962607,0.0256633171026361,tcn_embedding
tcn_embed_46,0.024177294318498,0.0006418809874333,5.956079253906258e-08,5,0.0254989361433613,0.0228556524936347,tcn_embedding
num_mean_shifts,0.0229700889018507,0.00064928639583,7.652674268098575e-08,5,0.0243069785649565,0.021633199238745,late_settle
tcn_embed_08,0.014702635914311,0.0002586839677385,1.1494742725691851e-08,5,0.0152352697792771,0.0141700020493449,tcn_embedding
tcn_embed_48,0.0101951749124211,0.0002211350676029,2.65436485451906e-08,5,0.010650495073027,0.0097398547518152,tcn_embedding
tcn_embed_58,0.0089778683881165,0.0001608481558813,1.2358529693948892e-08,5,0.0093090569642339,0.0086466798119992,tcn_embedding
tcn_embed_29,0.0075697054891771,0.0003483495369922,5.366621454093212e-07,5,0.0082869620005465,0.0068524489778078,tcn_embedding
tcn_embed_00,0.007421038509869,0.0002265466755884,1.0409115461800393e-07,5,0.0078875012461135,0.0069545757736245,tcn_embedding
tcn_embed_40,0.00703535349146,0.0004921158244628,2.8541639611394883e-06,5,0.0080486267757925,0.0060220802071275,tcn_embedding
last_big_slope_pos_ratio,0.0069372074554913,0.000120815413541,1.1034592182421552e-08,5,0.0071859680618188,0.0066884468491638,late_settle
largest_late_mean_shift,0.006432992612316,0.0002687898693362,3.648970582996363e-07,5,0.0069864346683502,0.0058795505562818,late_settle
tcn_embed_14,0.0056180753044658,0.000202095939374,2.0059145572215722e-07,5,0.0060341936368997,0.0052019569720319,tcn_embedding
tcn_embed_62,0.0039343041876542,0.0002141680581872,1.049577059248931e-06,5,0.0043752791795789,0.0034933291957295,tcn_embedding
tcn_embed_09,0.0038517467031047,0.0002127794558599,1.1130228588678806e-06,5,0.004289862543645,0.0034136308625643,tcn_embedding
tcn_embed_51,0.0037593121810096,0.0002289594235006,1.642997386215408e-06,5,0.0042307427985529,0.0032878815634662,tcn_embedding
tcn_embed_20,0.0036708279015897,0.0002098269791684,1.2755011175942851e-06,5,0.0041028645518145,0.0032387912513648,tcn_embedding
tcn_embed_52,0.003100598370491,0.0001960338385758,1.9072701282620167e-06,5,0.0035042347535943,0.0026969619873877,tcn_embedding
tcn_embed_63,0.0028757395363332,0.0001659634101485,1.3252758441957532e-06,5,0.0032174604916872,0.0025340185809791,tcn_embedding
tcn_embed_24,0.0026235550196763,0.0001506880212011,1.3002521415745884e-06,5,0.0029338237380592,0.0023132863012934,tcn_embedding
tcn_embed_47,0.0024998015370969,0.0001182982647119,6.000354982765901e-07,5,0.0027433792991946,0.0022562237749991,tcn_embedding
tcn_embed_37,0.0024381094373441,0.000176116731698,3.244557636266108e-06,5,0.0028007362221024,0.0020754826525859,tcn_embedding
base_p2p,0.0022162078168243,8.471562226478499e-05,2.55709990862107e-07,5,0.0023906384539619,0.0020417771796868,handcrafted_other
tcn_embed_01,0.0021361161812351,9.22844276483708e-05,4.1698023441108713e-07,5,0.0023261310932695,0.0019461012692008,tcn_embedding
tcn_embed_05,0.0019052289213135,0.0001002725336049,9.17314549377499e-07,5,0.0021116914539197,0.0016987663887073,tcn_embedding
tcn_embed_25,0.001781911368919,0.0001434103788586,4.991347050770051e-06,5,0.002077195321131,0.001486627416707,tcn_embedding
tcn_embed_50,0.0017167176906046,0.0002338008082398,4.028144648784105e-05,5,0.0021981167862412,0.0012353185949681,tcn_embedding
tcn_embed_53,0.0016399682719453,0.0001635004447085,1.1699880855693817e-05,5,0.0019766179474164,0.0013033185964742,tcn_embedding
tcn_embed_38,0.0016344517057574,0.0001038921767046,1.9484454764526943e-06,5,0.0018483671335348,0.0014205362779799,tcn_embedding
tcn_embed_45,0.001552933924908,5.363069870531179e-05,1.7042481997291305e-07,5,0.0016633602747973,0.0014425075750188,tcn_embedding
base_max,0.0014371205117124,6.311396011511669e-05,4.452400386910477e-07,5,0.0015670730279171,0.0013071679955078,handcrafted_other
meta_step_to_span,0.0013772742496305,5.3776207262098416e-05,2.7834147613559764e-07,5,0.0014880002036493,0.0012665482956116,handcrafted_other
base_max_slope,0.0013256217120891,6.35900921440789e-05,6.334747607390652e-07,5,0.0014565545907222,0.001194688833456,handcrafted_other
tcn_embed_42,0.0012957760130896,0.0001090685461189,5.967165316953421e-06,5,0.001520349657036,0.0010712023691432,tcn_embedding
shape_overshoot_norm,0.0011763897764187,7.42763002688116e-05,1.8970221413983068e-06,5,0.0013293257052798,0.0010234538475577,handcrafted_other
tcn_embed_44,0.001121272503061,0.0001413615719571,2.968341849043984e-05,5,0.0014123379335453,0.0008302070725768,tcn_embedding
base_energy,0.0010666602089265,0.0001093460388574,1.3068575128891429e-05,5,0.0012918052142568,0.0008415152035962,handcrafted_other
std_last_30pct,0.0010630773370864,7.987044898316891e-05,3.794938419159212e-06,5,0.0012275316954697,0.0008986229787032,handcrafted_other
base_std,0.0010187897039057,5.950350215179942e-05,1.3900819948294866e-06,5,0.001141308237262,0.0008962711705493,handcrafted_other
late_activity,0.0008952602412644,7.605722814500191e-05,6.191248434533152e-06,5,0.0010518631252376,0.0007386573572912,handcrafted_other
post_head_std,0.0008897456786126,0.0001216312947274,4.08840983247339e-05,5,0.0011401861955795,0.0006393051616456,handcrafted_other
tcn_embed_34,0.0008805024070428,8.483702391000801e-05,1.021513525230816e-05,5,0.0010551830118458,0.0007058218022398,tcn_embedding
