feature,importance,stddev,p_value,n,p99_high,p99_low,group
num_big_slopes_after_half,0.1565481624468433,0.0044881745934905,8.09827490011597e-08,5,0.1657893759680055,0.1473069489256812,late_settle
last_big_slope_time_ms,0.1010274280851263,0.0027571999224548,6.650677822791613e-08,5,0.1067045408340136,0.0953503153362389,late_settle
tcn_embed_43,0.0948298799314318,0.0032074109734207,1.5680385791785019e-07,5,0.1014339834568359,0.0882257764060276,tcn_embedding
tcn_embed_28,0.033244422781388,0.0006536069322659,1.79204479340068e-08,5,0.0345902084887315,0.0318986370740445,tcn_embedding
tcn_embed_39,0.0291030745470673,0.0007358618758402,4.900505278519165e-08,5,0.0306182243201143,0.0275879247740204,tcn_embedding
tcn_embed_11,0.0262919371494484,0.0003053015187454,2.1813667449344966e-09,5,0.0269205571962607,0.0256633171026361,tcn_embedding
tcn_embed_46,0.024177294318498,0.0006418809874333,5.956079253906258e-08,5,0.0254989361433613,0.0228556524936347,tcn_embedding
num_mean_shifts,0.0229700889018507,0.00064928639583,7.652674268098575e-08,5,0.0243069785649565,0.021633199238745,late_settle
tcn_embed_08,0.014702635914311,0.0002586839677385,1.1494742725691851e-08,5,0.0152352697792771,0.0141700020493449,tcn_embedding
tcn_embed_48,0.0101951749124211,0.0002211350676029,2.65436485451906e-08,5,0.010650495073027,0.0097398547518152,tcn_embedding
tcn_embed_58,0.0089778683881165,0.0001608481558813,1.2358529693948892e-08,5,0.0093090569642339,0.0086466798119992,tcn_embedding
tcn_embed_29,0.0075697054891771,0.0003483495369922,5.366621454093212e-07,5,0.0082869620005465,0.0068524489778078,tcn_embedding
tcn_embed_00,0.007421038509869,0.0002265466755884,1.0409115461800393e-07,5,0.0078875012461135,0.0069545757736245,tcn_embedding
tcn_embed_40,0.00703535349146,0.0004921158244628,2.8541639611394883e-06,5,0.0080486267757925,0.0060220802071275,tcn_embedding
last_big_slope_pos_ratio,0.0069372074554913,0.000120815413541,1.1034592182421552e-08,5,0.0071859680618188,0.0066884468491638,late_settle
largest_late_mean_shift,0.006432992612316,0.0002687898693362,3.648970582996363e-07,5,0.0069864346683502,0.0058795505562818,late_settle
tcn_embed_14,0.0056180753044658,0.000202095939374,2.0059145572215722e-07,5,0.0060341936368997,0.0052019569720319,tcn_embedding
tcn_embed_62,0.0039343041876542,0.0002141680581872,1.049577059248931e-06,5,0.0043752791795789,0.0034933291957295,tcn_embedding
tcn_embed_09,0.0038517467031047,0.0002127794558599,1.1130228588678806e-06,5,0.004289862543645,0.0034136308625643,tcn_embedding
tcn_embed_51,0.0037593121810096,0.0002289594235006,1.642997386215408e-06,5,0.0042307427985529,0.0032878815634662,tcn_embedding
tcn_embed_20,0.0036708279015897,0.0002098269791684,1.2755011175942851e-06,5,0.0041028645518145,0.0032387912513648,tcn_embedding
tcn_embed_52,0.003100598370491,0.0001960338385758,1.9072701282620167e-06,5,0.0035042347535943,0.0026969619873877,tcn_embedding
tcn_embed_63,0.0028757395363332,0.0001659634101485,1.3252758441957532e-06,5,0.0032174604916872,0.0025340185809791,tcn_embedding
tcn_embed_24,0.0026235550196763,0.0001506880212011,1.3002521415745884e-06,5,0.0029338237380592,0.0023132863012934,tcn_embedding
tcn_embed_47,0.0024998015370969,0.0001182982647119,6.000354982765901e-07,5,0.0027433792991946,0.0022562237749991,tcn_embedding
tcn_embed_37,0.0024381094373441,0.000176116731698,3.244557636266108e-06,5,0.0028007362221024,0.0020754826525859,tcn_embedding
base_p2p,0.0022162078168243,8.471562226478499e-05,2.55709990862107e-07,5,0.0023906384539619,0.0020417771796868,handcrafted_other
tcn_embed_01,0.0021361161812351,9.22844276483708e-05,4.1698023441108713e-07,5,0.0023261310932695,0.0019461012692008,tcn_embedding
tcn_embed_05,0.0019052289213135,0.0001002725336049,9.17314549377499e-07,5,0.0021116914539197,0.0016987663887073,tcn_embedding
tcn_embed_25,0.001781911368919,0.0001434103788586,4.991347050770051e-06,5,0.002077195321131,0.001486627416707,tcn_embedding
