[2026-07-02 11:06:41.565] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 16283.32ms
[2026-07-02 11:06:41.845] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 276.55ms
[2026-07-02 11:06:42.143] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 241.08ms
[2026-07-02 11:06:42.434] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 237.98ms
[2026-07-02 11:06:42.682] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 193.00ms
[2026-07-02 11:06:42.924] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 188.12ms
[2026-07-02 11:06:43.179] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 197.84ms
[2026-07-02 11:06:43.435] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 202.60ms
[2026-07-02 11:06:43.710] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 218.91ms
[2026-07-02 11:06:43.949] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 185.10ms
[2026-07-02 11:06:44.196] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 191.64ms
[2026-07-02 11:06:44.451] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 202.58ms
[2026-07-02 11:06:44.702] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 197.20ms
[2026-07-02 11:06:44.998] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 240.99ms
[2026-07-02 11:06:45.236] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 181.59ms
[2026-07-02 11:06:45.495] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 205.52ms
[2026-07-02 11:06:45.890] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 339.95ms
[2026-07-02 11:06:46.166] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 220.01ms
[2026-07-02 11:06:46.436] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 217.27ms
[2026-07-02 11:06:46.682] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 192.35ms
[2026-07-02 11:06:46.945] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 204.98ms
[2026-07-02 11:06:47.200] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 202.83ms
[2026-07-02 11:06:47.443] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 187.69ms
[2026-07-02 11:06:47.691] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 192.94ms
[2026-07-02 11:06:47.986] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 238.66ms
